Unnamed: 0,price,type,address,url,agent_url,postcode,full_postcode,number_bedrooms,search_date,property_type,bedrooms,bathrooms,size_square_meters,new_address,latitude,longitude
4,9950000,7 bedroom house for sale,"Battersea House, Battersea Park, 11 Surrey Lane, London, SW11",http://www.rightmove.co.uk/properties/134347760#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Russell-Simpson/Chelsea-46451.html,SW11,,7.0,2023-06-26 06:44:20.664331,House,7.0,6.0,599.0,"Battersea House, Battersea Park",,
6,9500000,3 bedroom penthouse for sale,"Boiler House Square, Battersea Power Station, SW11",http://www.rightmove.co.uk/properties/128291918#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Jo-Webster-Properties-Ltd/London-139826.html,SW11,,3.0,2023-06-26 06:44:20.664331,Penthouse,3.0,3.0,262.0,"Boiler House Square, Battersea Power Station",,
30,6611000,3 bedroom flat for sale,"Carnation Way, Vauxhall, SW8",http://www.rightmove.co.uk/properties/132914669#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Fine-Living/London-219503.html,SW8,,3.0,2023-06-26 06:44:20.664331,Flat,3.0,2.0,223.0,"Carnation Way, Vauxhall",,
52,5250000,4 bedroom penthouse for sale,"Circus Road West, London, SW11",http://www.rightmove.co.uk/properties/134798435#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Harding-Green/London-181964.html,SW11,,4.0,2023-06-26 06:44:20.664331,Penthouse,4.0,4.0,224.0,"Circus Road West, London",51.4818589,-0.1460477
58,4700000,3 bedroom penthouse for sale,"Ascensis Tower, Battersea Reach, Battersea, SW18",http://www.rightmove.co.uk/properties/128396336#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Garton-Jones/Nine-Elms-and-Vauxhall-108373.html,SW18,,3.0,2023-06-26 06:44:20.664331,Penthouse,3.0,3.0,268.0,"Ascensis Tower, Battersea Reach",51.464164,-0.18640778312368705
60,4600000,6 bedroom terraced house for sale,"Warriner Gardens, Prince of Wales Drive, London, SW11",http://www.rightmove.co.uk/properties/133332884#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Battersea-15966.html,SW11,,6.0,2023-06-26 06:44:20.664331,Terraced,6.0,4.0,344.0,"Warriner Gardens, Prince of Wales Drive",,
65,4500000,6 bedroom detached house for sale,"Bank Lane, London, SW15 5JT",http://www.rightmove.co.uk/properties/134584835#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Randall-Price/London-254981.html,SW15,SW15 5JT,6.0,2023-06-26 06:44:20.664331,Detached,6.0,4.0,557.0,"Bank Lane, London",51.4557105,-0.2553467055892531
70,4400000,3 bedroom penthouse for sale,"Oakley House, Battersea Power Station, SW11",http://www.rightmove.co.uk/properties/135950879#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/One-London/London-256565.html,SW11,,3.0,2023-06-26 06:44:20.664331,Penthouse,3.0,4.0,216.0,"Oakley House, Battersea Power Station",,
74,4250000,3 bedroom flat for sale,"Scott House, 
23 Circus Road West, SW11",http://www.rightmove.co.uk/properties/126011279#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Chestertons-Estate-Agents/Battersea-Park-135410.html,SW11,,3.0,2023-06-26 06:44:20.664331,Flat,3.0,3.0,190.0,"Scott House, 
23 Circus Road West",51.48300165,-0.14601849480499451
79,4250000,6 bedroom detached house for sale,"Chartfield Avenue, Putney, SW15",http://www.rightmove.co.uk/properties/132700637#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Fuller-Gilbert-and-Co/Wimbledon-3883.html,SW15,,6.0,2023-06-26 06:44:20.664331,Detached,6.0,7.0,471.0,"Chartfield Avenue, Putney",51.4572455,-0.2299899
81,4200000,3 bedroom apartment for sale,"Battersea Church Road, London, SW11",http://www.rightmove.co.uk/properties/135846443#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/DDREglobal/London-79209.html,SW11,,3.0,2023-06-26 06:44:20.664331,Apartment,3.0,3.0,250.0,"Battersea Church Road, London",51.477877,-0.1730815
83,4200000,6 bedroom detached house for sale,"Woodborough Road, West Putney, SW15",http://www.rightmove.co.uk/properties/134929268#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Fine-and-Country/Putney-246251.html,SW15,,6.0,2023-06-26 06:44:20.664331,Detached,6.0,3.0,455.0,"Woodborough Road, West Putney",,
89,3999500,8 bedroom detached house for sale,"Briar Walk, London, SW15",http://www.rightmove.co.uk/properties/85650726#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Chelwood-Partners/Wandsworth-225794.html,SW15,,8.0,2023-06-26 06:44:20.664331,Detached,8.0,5.0,650.0,"Briar Walk, London",51.6071263,-0.2635813
91,3950000,4 bedroom house for sale,"Chivalry Hall, London, SW11",http://www.rightmove.co.uk/properties/134855240#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Winkworth/Putney-49971.html,SW11,,4.0,2023-06-26 06:44:20.664331,House,4.0,4.0,399.0,"Chivalry Hall, London",,
97,3886000,3 bedroom flat for sale,"Carnation Way, Vauxhall, SW8",http://www.rightmove.co.uk/properties/132914651#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Landstones/London-221669.html,SW8,,3.0,2023-06-26 06:44:20.664331,Flat,3.0,3.0,146.0,"Carnation Way, Vauxhall",,
101,3800000,6 bedroom detached house for sale,"Hazlewell Road, London, SW15 6LH",http://www.rightmove.co.uk/properties/135864095#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Randall-Price/London-254981.html,SW15,SW15 6LH,6.0,2023-06-26 06:44:20.664331,Detached,6.0,4.0,373.0,"Hazlewell Road, London",51.4594362,-0.227127
107,3600000,3 bedroom penthouse for sale,"Palmer Road, Battersea, SW11",http://www.rightmove.co.uk/properties/129140495#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/CB-Williams-Property/London-189878.html,SW11,,3.0,2023-06-26 06:44:20.664331,Penthouse,3.0,3.0,189.0,"Palmer Road, Battersea",,
111,3500000,6 bedroom semi-detached house for sale,"Westbridge Road, London, SW11",http://www.rightmove.co.uk/properties/136308995#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Inigo/London-233495.html,SW11,,6.0,2023-06-26 06:44:20.664331,Semi-Detached,6.0,5.0,380.0,"Westbridge Road, London",51.4782021,-0.169939
112,3500000,3 bedroom apartment for sale,"Battersea, London, SW11",http://www.rightmove.co.uk/properties/136528712#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Victorstone/City-Road-77197.html,SW11,,3.0,2023-06-26 06:44:20.664331,Apartment,3.0,2.0,186.0,"Battersea, London",51.4707933,-0.172214
113,3500000,5 bedroom end of terrace house for sale,"Clapham Common North Side, 
Clapham Common, SW4",http://www.rightmove.co.uk/properties/132675818#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Chestertons-Estate-Agents/Battersea-48862.html,SW4,,5.0,2023-06-26 06:44:20.664331,End of Terrace,5.0,4.0,295.0,"Clapham Common North Side, 
Clapham Common",51.4613702,-0.1478956
114,3500000,3 bedroom flat for sale,"The Tower, St George Wharf, Nine Elms, London, SW8",http://www.rightmove.co.uk/properties/133900268#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Foxtons/Vauxhall-66771.html,SW8,,3.0,2023-06-26 06:44:20.664331,Flat,3.0,2.0,157.0,"The Tower, St George Wharf",51.508854400000004,-0.06726896352242995
125,595000,3 bedroom flat for sale,"Vicarage Crescent, Battersea",http://www.rightmove.co.uk/properties/127879211#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Portico/Battersea-Square-115507.html,,,3.0,2023-06-26 06:44:20.664331,Flat,3.0,1.0,62.0,"Vicarage Crescent, Battersea",51.4749558,-0.175388
126,3300000,4 bedroom semi-detached house for sale,"Queens Ride, Barnes, London",http://www.rightmove.co.uk/properties/135766892#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Wayne-and-Silver/Hampstead-91636.html,,,4.0,2023-06-26 06:44:20.664331,Semi-Detached,4.0,5.0,332.0,"Queens Ride, Barnes",51.4652492,-0.2420981
127,3250000,6 bedroom detached house for sale,"Burstock Road, Putney",http://www.rightmove.co.uk/properties/134503679#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Warren-Residential-Sales-and-Lettings/Putney-49263.html,,,6.0,2023-06-26 06:44:20.664331,Detached,6.0,3.0,291.0,"Burstock Road, Putney",51.4636272,-0.2136298
135,3150000,3 bedroom apartment for sale,"Albion Riverside, Battersea, SW11",http://www.rightmove.co.uk/properties/133834043#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Jo-Webster-Properties-Ltd/London-139826.html,SW11,,3.0,2023-06-26 06:44:20.664331,Apartment,3.0,3.0,183.0,"Albion Riverside, Battersea",51.4806379,-0.1697455
146,3000000,6 bedroom house for sale,"Clapham Common North Side, 
Clapham Common, SW4",http://www.rightmove.co.uk/properties/86224461#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Chestertons-Estate-Agents/Battersea-48862.html,SW4,,6.0,2023-06-26 06:44:20.664331,House,6.0,3.0,290.0,"Clapham Common North Side, 
Clapham Common",51.4613702,-0.1478956
149,3000000,3 bedroom apartment for sale,"Hester Road, London, SW11",http://www.rightmove.co.uk/properties/130880372#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/DDREglobal/London-79209.html,SW11,,3.0,2023-06-26 06:44:20.664331,Apartment,3.0,3.0,200.0,"Hester Road, London",51.612149,-0.0635697
152,3000000,3 bedroom penthouse for sale,"Kingfisher House, 
Juniper Drive, SW18",http://www.rightmove.co.uk/properties/136012055#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Chestertons-Estate-Agents/Battersea-Park-135410.html,SW18,,3.0,2023-06-26 06:44:20.664331,Penthouse,3.0,3.0,233.0,"Kingfisher House, 
Juniper Drive",51.4648117,-0.18406617660077035
155,2990000,3 bedroom apartment for sale,"Hotham Hall, 1 Hotham Road, London, SW15",http://www.rightmove.co.uk/properties/133542104#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Chelwood-Partners/Wandsworth-225794.html,SW15,,3.0,2023-06-26 06:44:20.664331,Apartment,3.0,2.0,279.0,"Hotham Hall, 1 Hotham Road",,
166,2850000,6 bedroom detached house for sale,"Hazlewell Road, Putney",http://www.rightmove.co.uk/properties/134742983#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Warren-Residential-Sales-and-Lettings/Putney-49263.html,,,6.0,2023-06-26 06:44:20.664331,Detached,6.0,6.0,301.0,"Hazlewell Road, Putney",51.4594362,-0.227127
